                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.9833,                 1.4985,                 1.0485,                0.62884,                0.30858,                0.35229,                0.15328,                 2.2726,                 1.5115,                 1.2573,               0.007558,               0.007558,               0.007558
                     76,                  2.074,                 1.4334,                 1.0124,                0.59573,                0.32537,                0.34282,                0.14299,                 2.3701,                 1.6097,                 1.2993,               0.007525,               0.007525,               0.007525
                     77,                 2.0337,                 1.4985,                 1.0598,                0.57065,                0.36284,                   0.34,                0.13261,                 2.3492,                 1.5304,                 1.2464,               0.007492,               0.007492,               0.007492
                     78,                  1.982,                 1.4893,                 1.0237,                0.67296,                 0.3567,                0.37072,                 0.1549,                 2.2565,                 1.5322,                 1.2123,               0.007459,               0.007459,               0.007459
                     79,                 2.1057,                 1.4303,                 1.0416,                0.53891,                0.37989,                0.38309,                0.15468,                 2.2153,                 1.5538,                 1.1892,               0.007426,               0.007426,               0.007426
                     80,                 1.9853,                 1.3827,                 1.0005,                0.58895,                0.35488,                0.37387,                0.16156,                 2.2533,                 1.4586,                 1.2127,               0.007393,               0.007393,               0.007393
                     81,                 2.0653,                 1.3846,                 1.0305,                0.57153,                0.34562,                0.36788,                0.15277,                 2.2391,                 1.4936,                 1.2217,                0.00736,                0.00736,                0.00736
                     82,                 2.0291,                 1.2883,                0.99322,                0.45504,                0.39745,                0.35492,                0.15377,                 2.2109,                 1.5907,                 1.2263,               0.007327,               0.007327,               0.007327
                     83,                 2.0886,                 1.4157,                 1.0629,                0.56237,                0.33186,                0.32136,                0.14492,                 2.2539,                 1.6556,                 1.1973,               0.007294,               0.007294,               0.007294
                     84,                 2.0962,                 1.4623,                 1.0737,                0.46873,                0.37054,                0.33872,                 0.1488,                 2.2846,                 1.6239,                 1.2484,               0.007261,               0.007261,               0.007261
                     85,                 2.0182,                 1.3926,                 1.0069,                0.58214,                0.36128,                0.35595,                0.14632,                 2.2836,                  1.631,                  1.233,               0.007228,               0.007228,               0.007228
                     86,                 1.8972,                 1.2997,                0.98863,                0.55654,                 0.3799,                0.37437,                0.14995,                 2.2093,                 1.5423,                 1.2202,               0.007195,               0.007195,               0.007195
                     87,                 1.8829,                 1.3439,                 1.0066,                0.47174,                0.40551,                0.36497,                0.15176,                 2.2913,                 1.5152,                 1.2714,               0.007162,               0.007162,               0.007162
                     88,                 1.7856,                 1.1708,                0.96301,                0.66572,                0.32416,                 0.3493,                0.15947,                 2.2536,                 1.5615,                  1.287,               0.007129,               0.007129,               0.007129
                     89,                  1.989,                 1.3385,                 1.0313,                0.61678,                0.34195,                0.34839,                0.15571,                 2.2584,                  1.492,                 1.2572,               0.007096,               0.007096,               0.007096
                     90,                 1.8484,                 1.3258,                0.99404,                0.60481,                0.33498,                0.34884,                0.15843,                 2.2736,                 1.5252,                 1.1958,               0.007063,               0.007063,               0.007063
                     91,                 1.8897,                 1.2588,                 0.9725,                0.60668,                0.35454,                0.37856,                0.16402,                 2.2463,                 1.4698,                 1.1934,                0.00703,                0.00703,                0.00703
                     92,                  1.936,                 1.2655,                 1.0009,                0.72083,                0.33444,                0.38267,                0.16704,                 2.2842,                 1.4593,                 1.2375,               0.006997,               0.006997,               0.006997
                     93,                 1.9279,                 1.2918,                 1.0086,                0.52021,                0.38737,                0.37446,                0.16348,                 2.2038,                 1.4626,                 1.2315,               0.006964,               0.006964,               0.006964
                     94,                 1.9832,                 1.3849,                 1.0324,                0.56929,                0.37464,                0.38101,                0.17894,                 2.1322,                 1.4679,                 1.1703,               0.006931,               0.006931,               0.006931
                     95,                 2.0624,                 1.3289,                0.98768,                0.64308,                0.35009,                0.36849,                0.16766,                 2.2586,                 1.4372,                 1.1883,               0.006898,               0.006898,               0.006898
                     96,                 1.9879,                 1.3257,                 1.0167,                0.60147,                0.33281,                0.35619,                0.17228,                  2.159,                 1.4497,                  1.177,               0.006865,               0.006865,               0.006865
                     97,                 1.9924,                 1.3522,                 0.9851,                0.56065,                0.39026,                0.36809,                0.16093,                 2.1903,                   1.47,                 1.2388,               0.006832,               0.006832,               0.006832
                     98,                  1.991,                 1.3237,                 1.0338,                0.66089,                0.37832,                0.36647,                0.16886,                 2.1507,                 1.3478,                 1.2787,               0.006799,               0.006799,               0.006799
                     99,                 1.9279,                  1.268,                 1.0069,                0.60343,                0.40464,                0.37961,                0.17667,                 2.0962,                  1.435,                 1.2539,               0.006766,               0.006766,               0.006766
                    100,                  1.921,                 1.2953,                 1.0095,                0.58673,                 0.4146,                0.38748,                0.18917,                 2.1211,                 1.4373,                 1.2344,               0.006733,               0.006733,               0.006733
                    101,                 1.8634,                  1.202,                0.95699,                0.56088,                0.39711,                0.38727,                0.17065,                 2.1709,                  1.531,                 1.2468,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.827,                 1.1923,                0.99863,                0.56522,                0.39202,                0.36664,                0.17244,                 2.1232,                  1.491,                 1.2539,               0.006667,               0.006667,               0.006667
                    103,                 1.8096,                 1.2246,                0.94974,                 0.5126,                0.37686,                0.35217,                0.16888,                 2.1359,                 1.4393,                 1.2656,               0.006634,               0.006634,               0.006634
                    104,                 1.8509,                 1.2715,                0.97981,                0.61435,                0.35619,                0.38165,                0.18154,                 2.1525,                 1.4352,                 1.2798,               0.006601,               0.006601,               0.006601
                    105,                 1.8162,                 1.2632,                0.94846,                0.52935,                0.37833,                0.35658,                0.16852,                 2.2222,                 1.4923,                 1.2533,               0.006568,               0.006568,               0.006568
                    106,                 1.8402,                 1.1692,                0.93846,                0.61238,                0.34424,                0.35841,                0.16501,                 2.1989,                  1.499,                 1.2088,               0.006535,               0.006535,               0.006535
                    107,                 1.9195,                 1.2087,                0.99439,                 0.5748,                0.37054,                 0.3562,                0.16656,                 2.1118,                 1.5203,                 1.1692,               0.006502,               0.006502,               0.006502
                    108,                  1.851,                 1.1655,                0.94948,                0.60285,                0.38906,                0.37051,                0.16616,                 2.1527,                 1.4699,                 1.2271,               0.006469,               0.006469,               0.006469
                    109,                  1.847,                 1.1785,                0.99512,                0.61367,                0.37357,                0.34391,                0.16151,                 2.1741,                 1.4048,                 1.2506,               0.006436,               0.006436,               0.006436
                    110,                 1.7366,                  1.133,                 0.9407,                 0.6309,                 0.3644,                0.35448,                0.17105,                  2.128,                 1.4228,                 1.2295,               0.006403,               0.006403,               0.006403
                    111,                 1.8361,                 1.1616,                0.98377,                 0.5777,                0.38592,                 0.3668,                 0.1774,                 2.0872,                 1.4249,                 1.2066,                0.00637,                0.00637,                0.00637
                    112,                 1.7753,                 1.1572,                 0.9609,                0.53471,                0.37072,                0.35332,                0.17594,                 2.1191,                 1.4699,                  1.175,               0.006337,               0.006337,               0.006337
                    113,                 1.7287,                 1.0912,                 0.9274,                0.59731,                0.39071,                0.37488,                 0.1788,                 2.1728,                 1.4232,                 1.1816,               0.006304,               0.006304,               0.006304
